"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 08 02:52:21 TRT 2022","Fri Apr 08 02:52:22 TRT 2022","628","","webdriver.io page","","webdriver.io page","Should demenstrate setValue command","Should demenstrate setValue command",""
"passed","Wed Apr 13 01:56:10 TRT 2022","Wed Apr 13 01:56:20 TRT 2022","10096","","webdriver.io page","","webdriver.io page","should demonstrate the addValue command","should demonstrate the addValue command",""
"passed","Fri Apr 08 02:52:29 TRT 2022","Fri Apr 08 02:52:29 TRT 2022","600","","webdriver.io page","","webdriver.io page","Should demonstrate the getAttribute command","Should demonstrate the getAttribute command",""
"passed","Wed Apr 13 01:56:10 TRT 2022","Wed Apr 13 01:56:10 TRT 2022","4","","webdriver.io page","","webdriver.io page","should have the right title","should have the right title",""
"passed","Wed Apr 13 01:56:21 TRT 2022","Wed Apr 13 01:56:28 TRT 2022","7166","","webdriver.io page","","webdriver.io page","Should demonstrate the click command","Should demonstrate the click command",""
"passed","Fri Apr 08 02:52:22 TRT 2022","Fri Apr 08 02:52:29 TRT 2022","7088","","webdriver.io page","","webdriver.io page","Should demonstrate the click command","Should demonstrate the click command",""
"passed","Wed Apr 13 01:56:20 TRT 2022","Wed Apr 13 01:56:21 TRT 2022","684","","webdriver.io page","","webdriver.io page","Should demenstrate setValue command","Should demenstrate setValue command",""
"passed","Fri Apr 08 02:52:11 TRT 2022","Fri Apr 08 02:52:11 TRT 2022","11","","webdriver.io page","","webdriver.io page","should have the right title","should have the right title",""
"passed","Fri Apr 08 02:52:11 TRT 2022","Fri Apr 08 02:52:21 TRT 2022","10056","","webdriver.io page","","webdriver.io page","should demonstrate the addValue command","should demonstrate the addValue command",""
"passed","Wed Apr 13 01:56:28 TRT 2022","Wed Apr 13 01:56:29 TRT 2022","458","","webdriver.io page","","webdriver.io page","Should demonstrate the getAttribute command","Should demonstrate the getAttribute command",""
